sepal_length,sepal_width,petal_length,petal_width,species
4.86,4.3,1.66,0.4,Iris-setosa
4.53,2.63,1.05,0.53,Iris-setosa
5.2,3.79,1.02,0.58,Iris-setosa
5.55,2.75,1.16,0.19,Iris-setosa
4.76,3.4,1.39,0.25,Iris-setosa
5.22,2.59,1.26,0.28,Iris-setosa
4.98,3.95,1.18,0.36,Iris-setosa
5.19,2.4,1.55,0.19,Iris-setosa
4.4,4.29,1.87,0.5,Iris-setosa
4.76,2.51,1.62,0.32,Iris-setosa
4.48,3.34,1.03,0.55,Iris-setosa
4.69,3.69,1.28,0.36,Iris-setosa
5.12,2.69,1.87,0.49,Iris-setosa
5.71,4.18,1.54,0.56,Iris-setosa
4.43,2.71,1.04,0.26,Iris-setosa
4.88,2.87,1.75,0.28,Iris-setosa
4.72,3.44,1.13,0.5,Iris-setosa
4.41,4.37,1.7,0.2,Iris-setosa
4.31,4.01,1.64,0.46,Iris-setosa
5.46,2.46,1.32,0.16,Iris-setosa
5.59,3.61,1.3,0.13,Iris-setosa
4.77,2.98,1.66,0.42,Iris-setosa
5.63,3.29,1.11,0.46,Iris-setosa
5.44,3.48,1.69,0.35,Iris-setosa
5.08,3.2,1.02,0.15,Iris-setosa
4.35,3.64,1.28,0.35,Iris-setosa
5.66,2.82,1.37,0.48,Iris-setosa
4.64,2.46,1.26,0.18,Iris-setosa
5.69,4.0,1.57,0.54,Iris-setosa
5.51,2.69,1.8,0.37,Iris-setosa
5.51,4.18,1.29,0.16,Iris-setosa
4.64,3.2,1.74,0.53,Iris-setosa
4.31,3.37,1.38,0.21,Iris-setosa
4.48,3.01,1.85,0.26,Iris-setosa
5.08,3.78,1.33,0.59,Iris-setosa
5.74,2.83,1.45,0.25,Iris-setosa
4.73,2.38,1.55,0.35,Iris-setosa
4.38,2.89,1.82,0.22,Iris-setosa
4.52,3.33,1.89,0.22,Iris-setosa
5.31,3.9,1.21,0.46,Iris-setosa
4.85,3.63,1.57,0.37,Iris-setosa
4.44,4.05,1.29,0.19,Iris-setosa
